background	replicate	t	x					
wt	1	3	1.33E-07					
wt	1	6	8.89E-08					
wt	1	9	0					
wt	1	12	0					
wt	1	15	2.67E-07					
wt	1	18	1.11E-07					
wt	1	21	2.51E-06					
wt	1	24	1.78E-07					
wt	2	3	1.14E-07					
wt	2	6	8.5E-08					
wt	2	9	0					
wt	2	12	0					
wt	2	15	2.57E-07					
wt	2	18	1.09E-07					
wt	2	21	2.75E-06					
wt	2	24	1.89E-07					
wt	3	3	1.3E-07					
wt	3	6	8.8E-08					
wt	3	9	0					
wt	3	12	0					
wt	3	15	2.66E-07					
wt	3	18	1.25E-07					
wt	3	21	3.48E-06					
wt	3	24	1.69E-07					
priA	1	3	0					
priA	1	6	0					
priA	1	9	4E-07					
priA	1	12	4.67E-07					
priA	1	15	4.44E-07					
priA	1	18	3.22E-05					
priA	1	21	1.58E-05					
priA	1	24	1.58E-05					
priA	2	3	0					
priA	2	6	0					
priA	2	9	9E-07					
priA	2	12	5.67E-07					
priA	2	15	5.49E-07					
priA	2	18	4.97E-05					
priA	2	21	1.74E-05					
priA	2	24	1.37E-05					
priA	3	3	0					
priA	3	6	0					
priA	3	9	3E-07					
priA	3	12	4.55E-07					
priA	3	15	4.55E-07					
priA	3	18	2.78E-05					
priA	3	21	1.47E-05					
priA	3	24	1.79E-05					
recG	1	3	0					
recG	1	6	0					
recG	1	9	2.22E-08					
recG	1	12	0					
recG	1	15	0					
recG	1	18	1.11E-06					
recG	1	21	0					
recG	1	24	0					
recG	2	3	0					
recG	2	6	0					
recG	2	9	2.45E-08					
recG	2	12	0					
recG	2	15	0					
recG	2	18	1.1E-06					
recG	2	21	0					
recG	2	24	0					
recG	3	3	0					
recG	3	6	0					
recG	3	9	2.1E-08					
recG	3	12	0					
recG	3	15	0					
recG	3	18	7E-07					
recG	3	21	0					
recG	3	24	0					
