background,replicate,t,x
wt,1,3,1.33e-07
wt,1,6,8.89e-08
wt,1,9,0.0
wt,1,12,0.0
wt,1,15,2.67e-07
wt,1,18,1.11e-07
wt,1,21,2.51e-06
wt,1,24,1.78e-07
wt,2,3,1.14e-07
wt,2,6,8.5e-08
wt,2,9,0.0
wt,2,12,0.0
wt,2,15,2.57e-07
wt,2,18,1.09e-07
wt,2,21,2.75e-06
wt,2,24,1.89e-07
wt,3,3,1.3e-07
wt,3,6,8.8e-08
wt,3,9,0.0
wt,3,12,0.0
wt,3,15,2.66e-07
wt,3,18,1.25e-07
wt,3,21,3.48e-06
wt,3,24,1.69e-07
priA,1,3,0.0
priA,1,6,0.0
priA,1,9,4e-07
priA,1,12,4.67e-07
priA,1,15,4.44e-07
priA,1,18,3.22e-05
priA,1,21,1.58e-05
priA,1,24,1.58e-05
priA,2,3,0.0
priA,2,6,0.0
priA,2,9,9e-07
priA,2,12,5.67e-07
priA,2,15,5.49e-07
priA,2,18,4.97e-05
priA,2,21,1.74e-05
priA,2,24,1.37e-05
priA,3,3,0.0
priA,3,6,0.0
priA,3,9,3e-07
priA,3,12,4.55e-07
priA,3,15,4.55e-07
priA,3,18,2.78e-05
priA,3,21,1.47e-05
priA,3,24,1.79e-05
recG,1,3,0.0
recG,1,6,0.0
recG,1,9,2.22e-08
recG,1,12,0.0
recG,1,15,0.0
recG,1,18,1.11e-06
recG,1,21,0.0
recG,1,24,0.0
recG,2,3,0.0
recG,2,6,0.0
recG,2,9,2.45e-08
recG,2,12,0.0
recG,2,15,0.0
recG,2,18,1.1e-06
recG,2,21,0.0
recG,2,24,0.0
recG,3,3,0.0
recG,3,6,0.0
recG,3,9,2.1e-08
recG,3,12,0.0
recG,3,15,0.0
recG,3,18,7e-07
recG,3,21,0.0
recG,3,24,0.0
